Report to Owner | Observer's Eye |
——————————————————————————————————

CPU: 7.0% | RAM: 43.6% on 2026-06-12 Time: 22:01:26

Processes in descending order by CPU on 2026-06-12 Time: 22:01:26

========================================================================================================
PID: 0 | Name: System Idle Process | CPU: 145.9% | RAM: 0.0%
PID: 12384 | Name: browser.exe | CPU: 10.1% | RAM: 2.8%
PID: 6472 | Name: browser.exe | CPU: 1.3% | RAM: 2.0%
PID: 20204 | Name: python.exe | CPU: 1.0% | RAM: 0.2%
PID: 17752 | Name: Discord.exe | CPU: 0.8% | RAM: 1.8%
PID: 1636 | Name: dwm.exe | CPU: 0.2% | RAM: 0.3%
PID: 10748 | Name: Taskmgr.exe | CPU: 0.2% | RAM: 0.2%
PID: 4 | Name: System | CPU: 0.1% | RAM: 0.0%
PID: 104 | Name:  | CPU: 0.0% | RAM: 0.3%
PID: 180 | Name: Registry | CPU: 0.0% | RAM: 0.2%
PID: 572 | Name: smss.exe | CPU: 0.0% | RAM: 0.0%
PID: 744 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 860 | Name: services.exe | CPU: 0.0% | RAM: 0.0%
PID: 888 | Name: csrss.exe | CPU: 0.0% | RAM: 0.0%
PID: 956 | Name: csrss.exe | CPU: 0.0% | RAM: 0.0%
PID: 960 | Name: wininit.exe | CPU: 0.0% | RAM: 0.0%
PID: 1036 | Name: LsaIso.exe | CPU: 0.0% | RAM: 0.0%
PID: 1064 | Name: winlogon.exe | CPU: 0.0% | RAM: 0.0%
PID: 1072 | Name: lsass.exe | CPU: 0.0% | RAM: 0.1%
PID: 1156 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1228 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 1252 | Name: fontdrvhost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1260 | Name: fontdrvhost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1356 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 1404 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1488 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1516 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1540 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1548 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1644 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1684 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 1760 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1824 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1872 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1908 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 1956 | Name: steamservice.exe | CPU: 0.0% | RAM: 0.0%
PID: 1964 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2136 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2172 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2180 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2352 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2412 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2420 | Name: NVDisplay.Container.exe | CPU: 0.0% | RAM: 0.2%
PID: 2540 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2564 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2628 | Name: atiesrxx.exe | CPU: 0.0% | RAM: 0.0%
PID: 2784 | Name: NVDisplay.Container.exe | CPU: 0.0% | RAM: 0.2%
PID: 2848 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2856 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2864 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2904 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 2920 | Name: atieclxx.exe | CPU: 0.0% | RAM: 0.1%
PID: 2964 | Name: conhost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2980 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 2988 | Name: MemCompression | CPU: 0.0% | RAM: 0.2%
PID: 3012 | Name: UserOOBEBroker.exe | CPU: 0.0% | RAM: 0.0%
PID: 3052 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 3060 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 3224 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 3268 | Name: RuntimeBroker.exe | CPU: 0.0% | RAM: 0.1%
PID: 3400 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 3488 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 3492 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 3504 | Name: ShellExperienceHost.exe | CPU: 0.0% | RAM: 0.3%
PID: 3544 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 3668 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 3676 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 3716 | Name: browser.exe | CPU: 0.0% | RAM: 0.2%
PID: 3736 | Name: Code.exe | CPU: 0.0% | RAM: 1.3%
PID: 3740 | Name: steamwebhelper.exe | CPU: 0.0% | RAM: 0.1%
PID: 3900 | Name: spoolsv.exe | CPU: 0.0% | RAM: 0.1%
PID: 3928 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 4008 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4280 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4328 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 4356 | Name: Scheduler.exe | CPU: 0.0% | RAM: 0.0%
PID: 4392 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4400 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 4412 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4420 | Name: mDNSResponder.exe | CPU: 0.0% | RAM: 0.0%
PID: 4428 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4436 | Name: GigabyteUpdateService.exe | CPU: 0.0% | RAM: 0.0%
PID: 4444 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 4448 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4460 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4468 | Name: AppleMobileDeviceService.exe | CPU: 0.0% | RAM: 0.0%
PID: 4508 | Name: RtkAudUService64.exe | CPU: 0.0% | RAM: 0.0%
PID: 4520 | Name: PnkBstrA.exe | CPU: 0.0% | RAM: 0.0%
PID: 4540 | Name: pg_ctl.exe | CPU: 0.0% | RAM: 0.0%
PID: 4564 | Name: nvcontainer.exe | CPU: 0.0% | RAM: 0.1%
PID: 4584 | Name: service_update.exe | CPU: 0.0% | RAM: 0.0%
PID: 4664 | Name: vgtray.exe | CPU: 0.0% | RAM: 0.0%
PID: 4672 | Name: SecurityHealthService.exe | CPU: 0.0% | RAM: 0.0%
PID: 4680 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 4684 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4732 | Name: OfficeClickToRun.exe | CPU: 0.0% | RAM: 0.2%
PID: 4772 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 4880 | Name: Video.UI.exe | CPU: 0.0% | RAM: 0.0%
PID: 5072 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 5132 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 5204 | Name: service_update.exe | CPU: 0.0% | RAM: 0.0%
PID: 5384 | Name: steamwebhelper.exe | CPU: 0.0% | RAM: 0.9%
PID: 5608 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 5620 | Name: browser.exe | CPU: 0.0% | RAM: 0.3%
PID: 5792 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 5984 | Name: steamwebhelper.exe | CPU: 0.0% | RAM: 0.0%
PID: 6316 | Name: sihost.exe | CPU: 0.0% | RAM: 0.1%
PID: 6348 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 6380 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 6616 | Name: postgres.exe | CPU: 0.0% | RAM: 0.1%
PID: 6624 | Name: conhost.exe | CPU: 0.0% | RAM: 0.0%
PID: 6720 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6752 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6760 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6768 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6788 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6808 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6832 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 6864 | Name: explorer.exe | CPU: 0.0% | RAM: 0.6%
PID: 6896 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6904 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6920 | Name: postgres.exe | CPU: 0.0% | RAM: 0.0%
PID: 6928 | Name: steamwebhelper.exe | CPU: 0.0% | RAM: 0.1%
PID: 7100 | Name: ctfmon.exe | CPU: 0.0% | RAM: 0.1%
PID: 7164 | Name: Code.exe | CPU: 0.0% | RAM: 1.6%
PID: 7256 | Name: taskhostw.exe | CPU: 0.0% | RAM: 0.1%
PID: 7316 | Name: Code.exe | CPU: 0.0% | RAM: 0.4%
PID: 7368 | Name: browser.exe | CPU: 0.0% | RAM: 0.3%
PID: 7448 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 7456 | Name: SearchIndexer.exe | CPU: 0.0% | RAM: 0.2%
PID: 7580 | Name: browser.exe | CPU: 0.0% | RAM: 0.0%
PID: 7828 | Name: nvcontainer.exe | CPU: 0.0% | RAM: 0.1%
PID: 7856 | Name: nvcontainer.exe | CPU: 0.0% | RAM: 0.2%
PID: 7872 | Name: mintty.exe | CPU: 0.0% | RAM: 0.1%
PID: 7884 | Name: browser.exe | CPU: 0.0% | RAM: 0.4%
PID: 8100 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 8752 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 8800 | Name: bash.exe | CPU: 0.0% | RAM: 0.0%
PID: 9084 | Name: browser.exe | CPU: 0.0% | RAM: 0.0%
PID: 9148 | Name: LockApp.exe | CPU: 0.0% | RAM: 0.2%
